smiles	valid_action_count	positive_delta_count	positive_action_fraction	best_delta_qed
OCc1cccc2c1CCN2	3	2	0.6666666666666666	0.07771247850975171
NC1CCN(c2ccc(Cl)cc2Cl)C1=O	1	0	0.0	-0.02542128201972227
O=C(O)CCCC(=O)NCCc1cnc[nH]1	3	3	1.0	0.07948459453916146
NCC[C@H]1C[C@H](F)C1	1	0	0.0	-0.06833261187293316
CC(C)C(F)(CNC(=O)OC(C)(C)C)C(=O)O	1	0	0.0	-0.0012681068784569094
O=C(O)CCCNS(=O)(=O)c1ccc2ccccc2c1	3	0	0.0	-0.0010567378410965
O=C(O)C1CCNC12CCOCC2	3	3	1.0	0.07231453124749432
CCCS(=O)(=O)C(C)C(=O)O	3	2	0.6666666666666666	0.09020006734534469
CCc1cccc(CC(=O)O)c1	3	2	0.6666666666666666	0.0883996908104624
COc1ccc(I)cc1	1	0	0.0	-0.09506025588437328
N[C@@H]1C[C@H]1c1c(Cl)cccc1Cl	1	0	0.0	-0.003484546731093552
CC(C)C[C@@H](N)C(=O)N[C@H](C(=O)O)C(C)C	3	1	0.3333333333333333	0.07339968340863301
[N-]=[N+]=NCCOCCOCCOCCO	3	0	0.0	-0.001469559833594175
NCc1oc2ccc(Cl)cc2c1-c1ccccc1	2	1	0.5	0.008413838225893477
Cc1ccccc1CC(C)C(=O)O	3	2	0.6666666666666666	0.07477622707774845
CN(C)CCOc1ccc(Cl)cc1C(=O)O	1	0	0.0	-0.031136340639465576
COCCOC(=O)CC#N	3	1	0.3333333333333333	0.051881962448292074
N[C@@H]1CCOc2ccc(Br)cc21	1	0	0.0	-0.09318640738730088
Cc1nc2ccccc2nc1O	2	1	0.5	0.048786967279507154
O=C(O)c1c(O)cnc2ccc(Cl)cc12	3	2	0.6666666666666666	0.09610283076257287
COc1ccc2c(c1)CCC2(O)CN	3	2	0.6666666666666666	0.09335278000243397
CC(=O)Nc1cccc(CO)c1	3	2	0.6666666666666666	0.08407471747043349
CCOC(=O)c1oc2ccc(Br)cc2c1C	1	0	0.0	-0.04653316060675039
Cn1c(=O)oc2cc(Br)ccc21	1	0	0.0	-0.09136644513301162
COc1ccc(N)cc1NC(=O)c1ccc(Cl)cc1F	1	0	0.0	-0.005448373629701853
NCc1ccc(N2CCN3CCCC3C2)cc1	1	0	0.0	-0.10239056370801836
CC(C)C(C(=O)O)n1cnnn1	3	2	0.6666666666666666	0.0991983962285683
NCCCc1cccc(F)c1	1	0	0.0	-0.07015948057509169
O[C@@H]1CCN(Cc2ccccc2)C1	2	0	0.0	-0.016525237619352984
CC(C)(C)OC(=O)NC(C(=O)O)c1cccc(I)c1	2	1	0.5	0.08646264100073808
COC(=O)c1ccc(O)cc1C	2	1	0.5	0.048726952682735636
Fc1cc2c(cc1Br)CCNC2	1	0	0.0	-0.07298326938851618
[N-]=[N+]=NCCOCCN	1	0	0.0	-0.008774273351229434
CC(C#N)S(=O)(=O)c1ccc(N)cc1	1	1	1.0	0.024422653031580643
